X,Y,NAME,ADDRESS,CITY,COUNTY,DISTRICT,PROGRAM,STATUS,MANAGER,OBJECTID,ERIC_ID,LAT_DD,LAT_MM,LONG_DD,LONG_MM,DATUM,HAZ_ARC_ID,DOCUMENTS
-83.14417238,29.64857995,A - C Sons - Former Continental Turpentine & Rosin,Off US 19-98,Shamrock,DIXIE,NED,StateFunded,OPEN,Killian Talley,34,ERIC_3926,29,38,83,8,UNKN,156,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3926/gis-facility!search
-82.37786677,29.62389638,Butler Plaza,3246 SW 35th Blvd,Gainesville,ALACHUA,NED,StateFunded,OPEN,Killian Talley,35,ERIC_3927,29,37,82,22,UNKN,157,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3927/gis-facility!search
-81.29566453,28.59710344,City Chemical - University Blvd,6586 University Blvd,Orlando,ORANGE,CD,StateFunded,OPEN,Killian Talley,36,ERIC_3814,28,35,81,17,ADDM,41,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3814/gis-facility!search
-81.72445714,30.36638766,Crosby Motors Inc,39 Clifford Ln,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,37,ERIC_3887,30,21,81,43,ADDM,115,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3887/gis-facility!search
-81.7500582,30.32525287,Eagle - Picher Industries Facility,5901 W Beaver St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,38,ERIC_3951,30,19,81,45,WGPS,181,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3951/gis-facility!search
-87.21789832,30.4285335,Guillemard Street PCE Plume Site ,1501 N Guillemard St,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Killian Talley,39,ERIC_3919,30,25,87,13,WGPS,149,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3919/gis-facility!search
-81.67530962,30.35946913,Jethro Boyd Property,3421 Moncrief Rd,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,40,ERIC_3910,30,21,81,40,WGPS,139,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3910/gis-facility!search
-82.43785828,27.93676561,Musselman Steel Corp,1711 S 20th St,Tampa,HILLSBOROUGH,SWD,StateFunded,OPEN,Killian Talley,41,ERIC_3898,27,56,82,26,ADDM,127,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3898/gis-facility!search
-82.69686047,27.88871654,Reliable Circuits,12880 Automobile Blvd,Clearwater,PINELLAS,SWD,StateFunded,OPEN,Killian Talley,42,ERIC_3824,27,53,82,41,ADDM,51,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3824/gis-facility!search
-81.5202199,29.9758579,Silvex,"SR 16, 1 mile west of International Golf Parkway",St Augustine,ST. JOHNS,NED,StateFunded,OPEN,Killian Talley,43,ERIC_3825,29,58,81,31,ADDM,52,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3825/gis-facility!search
-81.34156195,29.94951415,Washac Industries,4735 Avenue A,St Augustine,ST. JOHNS,NED,StateFunded,OPEN,Killian Talley,44,ERIC_3891,29,56,81,20,ADDM,120,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3891/gis-facility!search
-87.2653267,30.54294644,Lee Brothers Holsberry C & D Landfill,1000 Block Holsberry Road,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Theresa Pepe,46,ERIC_3970,30,32,87,15,UNKN,200,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3970/gis-facility!search
-82.52117959,29.53451469,Brice Lumber,SR 24,Archer,ALACHUA,NED,StateFunded,OPEN,Killian Talley,48,ERIC_3892,29,32,82,31,ADDM,121,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3892/gis-facility!search
-80.1844527,26.45326319,Southern Crop Services,8778 W Atlantic Ave,Delray Beach,PALM BEACH,SED,StateFunded,OPEN,Killian Talley,49,ERIC_3826,26,27,80,11,UNKN,53,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3826/gis-facility!search
