X,Y,NAME,ADDRESS,CITY,COUNTY,DISTRICT,PROGRAM,STATUS,MANAGER,OBJECTID,ERIC_ID,LAT_DD,LAT_MM,LONG_DD,LONG_MM,DATUM,HAZ_ARC_ID,DOCUMENTS
-82.62918804,29.64002213,Newberry Landfill,"Cty Rd 337, 1.5 mi W of Newberry",Newberry,ALACHUA,NED,StateFunded,CLOSED, ,168,ERIC_3821,29,38,82,37,ADDM,48,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3821/gis-facility!search
-82.15050802,29.22264332,Old 441 Gasoline Contamination,Old US 441 & NW 35 St,Ocala,MARION,CD,StateFunded,CLOSED, ,169,ERIC_3822,29,13,82,9,ADDM,49,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3822/gis-facility!search
,,,,,,,,,,,,,,,,,,
-81.82121481,28.13504596,Helms Drum Service,1764 Hwy 655,Auburndale,POLK,SWD,StateFunded,CLOSED, ,172,ERIC_3870,28,8,81,49,ADDM,98,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3870/gis-facility!search
-80.61344552,28.35726435,Cocoa Beach Gasoline Contamination,420 W Cocoa Beach Cswy,Cocoa Beach,BREVARD,CD,StateFunded,CLOSED, ,174,ERIC_3815,28,21,80,36,ADDM,42,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3815/gis-facility!search
-82.05909169,29.08747598,Florida Peach - Baseline,"Off SR 35 S, on Baseline Rd, 2 mi N of Belleview",Belleview,MARION,CD,StateFunded,CLOSED, ,175,ERIC_3838,29,5,82,3,ADDM,65,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3838/gis-facility!search
-81.5692453,28.56523048,Harp Lead,1095 Lincoln Ter,Winter Garden,ORANGE,CD,StateFunded,CLOSED, ,178,ERIC_3863,28,33,81,34,ADDM,91,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3863/gis-facility!search
-85.87784858,30.95251035,K & K Grocery,Intersec. Hwy 2 & Hwy 179A,New Hope,HOLMES,NWD,StateFunded,CLOSED, ,179,ERIC_3819,30,57,85,52,ADDM,46,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3819/gis-facility!search
-80.34991862,26.91392089,Pratt & Whitney Aircraft,21918 Innovation Dr,Jupiter,PALM BEACH,SED,StateFunded,OPEN, ,180,ERIC_3800,26,54,80,20,ADDM,27,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3800/gis-facility!search
-82.19602901,29.29623092,Florida Peach - Martin,Off SR 25A & I-75,Martin,MARION,CD,StateFunded,CLOSED, ,181,ERIC_3840,29,17,82,11,ADDM,67,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3840/gis-facility!search
X,Y,NAME,ADDRESS,CITY,COUNTY,DISTRICT,PROGRAM,STATUS,MANAGER,OBJECTID,ERIC_ID,LAT_DD,LAT_MM,LONG_DD,LONG_MM,DATUM,HAZ_ARC_ID,
-81.76846037,30.29396103,Fairfax North,Fairfax St and W 19th St,JACKSONVILLE,DUVAL,NED,StateFunded,OPEN,Miranda McClure,1,ERIC_5586,30,17,81,46,DPHO,,
-81.72445714,30.36638766,Crosby Motors Inc,39 Clifford Ln,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,37,ERIC_3887,30,21,81,43,ADDM,115,
-81.7500582,30.32525287,Eagle - Picher Industries Facility,5901 W Beaver St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,38,ERIC_3951,30,19,81,45,WGPS,181,
-81.67530962,30.35946913,Jethro Boyd Property,3421 Moncrief Rd,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,40,ERIC_3910,30,21,81,40,WGPS,139,
-81.5202199,29.9758579,Silvex,"SR 16, 1 mile west of International Golf Parkway",St Augustine,ST. JOHNS,NED,StateFunded,OPEN,Killian Talley,43,ERIC_3825,29,58,81,31,ADDM,52,
-81.34156195,29.94951415,Washac Industries,4735 Avenue A,St Augustine,ST. JOHNS,NED,StateFunded,OPEN,Killian Talley,44,ERIC_3891,29,56,81,20,ADDM,120,
-81.63725728,30.35029615,Owen Pest Control,2134 Haines St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,53,ERIC_3893,30,21,81,38,ADDM,122,
-81.68654727,30.40553178,Former Red Carpet Cleaners,9016 Lem Turner Rd,Jacksonville,DUVAL,NED,StateFunded,OPEN,Walsta JeanBaptiste,90,ERIC_7545,30,24,81,41,DPHO,,
-81.65231461,30.33436401,960 North Market Street Inc ,960 N Market St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Crystal Posey,91,ERIC_3953,30,20,81,39,ADDM,183,
-81.69374825,29.96895967,Plumlee Auto Sales - Former,4218 County Road 15A,Green Cove Springs,CLAY,NED,StateFunded,OPEN,Crystal Posey,92,ERIC_7378,29,58,81,41,DPHO,,
-81.68906907,30.32256198,Jackson Atomics - Former,2284 Edison Ave,Jacksonville,DUVAL,NED,StateFunded,OPEN,Benjamin Grubbs,93,ERIC_3925,30,19,81,41,WGPS,155,
-81.6894679,30.32374048,Bert Morsch Lumber,Woodlawn Ave & Lewis St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Benjamin Grubbs,110,ERIC_3889,30,19,81,41,ADDM,118,
-81.70086612,30.16675955,Town & Country,1925 Park Ave,Orange Park,CLAY,NED,StateFunded,OPEN, ,170,ERIC_3828,30,10,81,42,ADDM,55,
